stimulus,correct_answer
A1_1,6
A1_2,3
A1_3,7
A1_4,1
A2_1,5
A2_2,4
A2_3,1
A2_4,4
A3_1,3
A3_2,7
A3_3,6
A3_4,4
A4_1,2
A4_2,1
A4_3,3
A4_4,1
B1_1,3
B1_2,2
B1_3,8
B1_4,6
B2_1,8
B2_2,3
B2_3,1
B2_4,2
B3_1,7
B3_2,1
B3_3,3
B3_4,7
B4_1,4
B4_2,4
B4_3,1
B4_4,4
B5_1,4
B5_2,7
B5_3,3
B5_4,6
C1_1,5
C1_2,4
C1_3,1
C1_4,4
C2_1,5
C2_2,3
C2_3,2
C2_4,8
C3_1,7
C3_2,4
C3_3,7
C3_4,3
C4_1,8
C4_2,3
C4_3,1
C4_4,2
C5_1,7
C5_2,1
C5_3,3
C5_4,7
D1_1,8
D1_2,3
D1_3,1
D1_4,2
D2_1,7
D2_2,1
D2_3,3
D2_4,7
D3_1,7
D3_2,5
D3_3,3
D3_4,2
D4_1,8
D4_2,5
D4_3,4
D4_4,1
D5_1,6
D5_2,4
D5_3,7
D5_4,3
E1_1,8
E1_2,5
E1_3,4
E1_4,1
E2_1,6
E2_2,4
E2_3,7
E2_4,3
E3_1,8
E3_2,3
E3_3,1
E3_4,2
E4_1,8
E4_2,7
E4_3,5
E4_4,3
E5_1,2
E5_2,7
E5_3,1
E5_4,3
A1B2,5
A1B3,8
A1B4,7
A1B5,5
A2B1,8
A2B3,5
A2B4,3
A2B5,2
A3B1,8
A3B2,7
A3B4,8
A3B5,6
A4B1,5
A4B2,4
A4B3,3
A4B5,7
A1C2,4
A1C3,3
A1C4,1
A1C5,4
A2C1,7
A2C3,7
A2C4,2
A2C5,8
A3C1,3
A3C2,2
A3C4,7
A3C5,5
A4C1,8
A4C2,6
A4C3,8
A4C5,2
A1D2,6
A1D3,8
A1D4,7
A1D5,5
A2D1,1
A2D3,5
A2D4,4
A2D5,3
A3D1,2
A3D2,8
A3D4,2
A3D5,4
A4D1,7
A4D2,5
A4D3,3
A4D5,5
A1E2,5
A1E3,3
A1E4,2
A1E5,8
A2E1,7
A2E3,8
A2E4,6
A2E5,8
A3E1,4
A3E2,3
A3E4,7
A3E5,5
A4E1,5
A4E2,4
A4E3,2
A4E5,8
B1C2,4
B1C3,2
B1C4,8
B1C5,7
B2C1,2
B2C3,7
B2C4,5
B2C5,3
B3C1,6
B3C2,8
B3C4,2
B3C5,8
B4C1,7
B4C2,5
B4C3,4
B4C5,8
B5C1,5
B5C2,8
B5C3,5
B5C4,4
B1D2,4
B1D3,5
B1D4,8
B1D5,5
B2D1,8
B2D3,5
B2D4,4
B2D5,2
B3D1,5
B3D2,3
B3D4,8
B3D5,7
B4D1,2
B4D2,8
B4D3,6
B4D5,3
B5D1,6
B5D2,8
B5D3,7
B5D4,5
B1E2,1
B1E3,3
B1E4,1
B1E5,3
